Order,Genus,species,Specimen number (YPM),sex,mass (g),femur_circumference (mm),femur_diamter (mm),femur_length (mm),humerus_diameter (mm),humerus_length (mm),tarsus_circumference (mm),tarsus_diameter (mm),tarsus_length (mm),tibia_length (mm),humerus_circumference (mm),coracoid HAF (mm),coracoid shaft width,coracoid max length
Ciconiiformes,Ardea,cocoi,109810,f,1465.00,25.64,7.28,102.78,6.85,188,20.17,6.77,192,259,31.54,9.89,6.49,79.23
Ciconiiformes,Ardea,herodias,107012,f,2570.00,28.28,8.46,96.97,10.36,195,22.45,7.44,180,228,34.6,10.04,6.63,74.46
Ciconiiformes,Ardea,herodias,103487,f,2570.00,26.14,7.49,96.53,10.19,189,20.42,5.85,185,243,32.68,10.09,5.91,71.63
Ciconiiformes,Ardea,herodias,110364,f,2570.00,25.87,6.59,93.67,9.34,190,19.39,6.38,165,228,34.82,10.19,6.1,70.06
Ciconiiformes,Ardea,herodias,102018,m,3015.00,28.45,7.94,99.74,10.57,194,21.06,6.52,185,249,35.73,10.85,6.08,73.54
Ciconiiformes,Ardea,herodias,104571,m,3015.00,29.6,7.67,108.07,11.65,215,20.72,5.92,193,276,39.24,11.16,6.93,80.4
Ciconiiformes,Ardea,herodias,104570,m,3015.00,29.41,8.44,107.88,11.14,210,21.77,5.92,188,259,37.7,10.73,6.78,75.15
Ciconiiformes,Ardea,herodias,109114,m,3015.00,26.64,7.73,102.74,11.34,205,19.7,5.89,182,244,34.05,11.16,6.73,77.66
Ciconiiformes,Ardea,herodias,109153,m,3015.00,26.97,7.82,103.36,8.66,202,19.49,5.61,190,260,38.26,10.86,6.66,78.61
Ciconiiformes,Butorides,virescens,109817,m,187.00,10.02,3.26,51.53,3.85,71.74,8.37,3.09,53.78,83.27,11.39,4.19,2.73,37.15
Ciconiiformes,Butorides,virescens,107569,m,187.00,9.98,3.08,50.59,3.75,70.33,8.56,3.16,53.15,84.31,11.28,3.99,2.6,36.89
Ciconiiformes,Butorides,virescens,109819,m,187.00,10.46,3.2,50.06,3.95,69.64,7.67,2.69,51.99,79.55,11.8,4.28,2.65,36.84
Ciconiiformes,Butorides,virescens,109815,m,187.00,10.48,3.37,49.3,3.93,68.54,7.49,2.62,51.54,79,11.69,4.24,2.88,37.18
Ciconiiformes,Butorides,virescens,103359,f,187.00,10.21,3.22,49.1,3.63,69.22,8.81,3.27,52.79,79.38,10.93,4.32,2.99,35.98
Ciconiiformes,Butorides,virescens,109816,f,187.00,10.05,3.2,48.41,3.74,66.54,7.45,2.72,49.72,78.6,10.92,4.08,2.53,33.99
Ciconiiformes,Butorides,virescens,109818,f,187.00,10.32,3.37,48.82,2.84,68.72,7.43,2.69,51.07,78.79,9.75,3.94,2.55,35.24
Ciconiiformes,Ciconia,ciconia,102549,m,3571.00,49.15,14.38,155.14,11.48,282,31.39,11.68,332.66,399,64.09,15.21,16.84,106.6
Ciconiiformes,Egretta,novaehollandiae,110758,f,521.00,16.37,4.54,56.7,5,105.13,14.02,4.28,91.32,126.85,20.97,6.28,4.22,44.02
Ciconiiformes,Egretta,novaehollandiae,110773,m,599.00,18.31,4.99,59.52,7.04,114.06,15.09,5.01,96.83,134.9,21.91,6.09,4.76,47.8
Ciconiiformes,Egretta,novaehollandiae,110774,m,599.00,16.82,4.63,60.4,5.61,115.28,15.26,4.87,103.07,144.68,19.89,6.24,4.46,50.05
Ciconiiformes,Egretta,sacra,103088,f,383.00,12.61,4.22,56.16,4.99,99.84,10.76,3.01,76.01,106.3,19.36,5.74,3.32,42.82
Ciconiiformes,Eudocimus,albus,103257,m,1036.00,19.77,5.61,66.35,6.69,100,18.44,5.77,99.23,134.87,24.92,8.26,5.94,47.91
Ciconiiformes,Ixobrychus,cinnamomeus,107162,m,128.00,9.57,3.14,45.38,3.51,55.7,7.67,2.86,45.64,71.4,9.96,3.58,2.27,33.26
Ciconiiformes,Ixobrychus,flavicollis,104774,m,321.00,16.67,4.37,68.44,3.42,87.64,12.26,3.87,69.88,106.29,13.35,4.97,3.22,45.6
Ciconiiformes,Mesembrinibis,cayennensis,109833,f,576.00,20.4,5.67,54.82,5.88,88.56,15.94,5.89,62.89,100.42,24.98,7.61,6.55,44.67
Ciconiiformes,Nycticorax,nycticorax,102316,m,810.00,20.11,5.95,79.38,7.07,125.38,16.83,5.15,85.16,134.71,24.58,7.39,4.4,61.11
Ciconiiformes,Nycticorax,nycticorax,107562,m,810.00,19.5,5.54,75.52,7.31,118.02,16.6,5.1,82.08,132.79,21.69,7.91,4.87,57.87
Ciconiiformes,Nycticorax,nycticorax,109832,m,810.00,18.63,5.82,77.43,6.48,118.76,17.79,5.61,81.46,129.43,25.13,7.21,4.61,58.27
Ciconiiformes,Nycticorax,nycticorax,109831,f,810.00,17.92,5.13,73.81,5.87,114.47,16.18,4.83,79.94,126.65,22.53,6.83,4.14,53.29
Ciconiiformes,Nycticorax,nycticorax,109830,f,810.00,17.91,4.94,70.57,7,109.34,14.09,4.35,78.88,123.36,18.33,6.87,4.09,52.71
Ciconiiformes,Nycticorax,nycticorax,103327,f,810.00,18.1,5.74,75.86,6.44,118.7,13.38,4.8,83.71,130.87,22.9,6.94,4.58,55.32
Ciconiiformes,Syrigma,sibilatrix,104162,f,463.00,16.23,3.11,53.15,5.75,95.13,13.07,2.86,83.08,114.14,16.65,5.82,3.53,38.89
Ciconiiformes,Syrigma,sibilatrix,104163,f,463.00,16.66,4.32,55.58,5.22,101.49,13.5,2.87,87.97,118.64,19.4,6.29,4.07,43.26
Ciconiiformes,Theristicus,caudatus,104522,f,1726.00,21.9,5.17,68.31,6.48,116.97,21.51,5.6,79.45,119.31,28.81,10.51,8.68,56.17
Ciconiiformes,Threskiornis,molucca,102560,f,1606.00,26.18,7.56,75.3,7.44,124.8,22.72,5.92,94.33,137.85,27.41,9.86,7.33,56.56
Ciconiiformes,Tigrisoma,lineatum,109809,m,813.00,20.91,5.92,87.05,6.98,114.73,15,5.43,108.36,149.47,24.33,6.96,4.85,61.44
Ciconiiformes,Tigrisoma,lineatum,109808,f,813.00,20.72,5.61,76.78,7.2,101.27,15.33,5.12,93.31,128.14,21.69,6.82,4.29,56.9
Ciconiiformes,Tigrisoma,mexicanum,105901,f,1046.00,19.98,6.04,87.9,5,121.47,17.38,5.18,102.41,147.28,27.63,7.69,5.02,60.98
Columbiformes,Chalcophaps,indica,104006,m,136.00,8.09,2.76,32.09,3.7,33.5,6.16,2.22,26.75,46.61,10.23,3.19,2.41,27.39
Columbiformes,Chalcophaps,indica,107179,m,136.00,7.59,2.51,25.24,4.32,32.04,5.59,1.75,23.87,43.34,10.9,3.21,2.28,27.44
Columbiformes,Chalcophaps,indica,105206,m,136.00,7.79,2.62,30.85,3.65,33.96,3.67,2.32,25.29,44.3,10.38,3.17,2.6,27.68
Columbiformes,Chalcophaps,indica,104037,f,136.00,7.59,2.51,30.17,3.62,32.93,6.28,2.23,24.9,42.95,10.1,3.2,2.39,26.88
Columbiformes,Chalcophaps,indica,104727,f,136.00,7.53,2.49,27.77,3.7,30.71,5.81,1.93,23.6,41.04,10.32,3.19,2.56,25.31
Columbiformes,Chalcophaps,indica,105529,f,136.00,7.49,2.42,28.56,3.46,30.09,6.47,2.34,23.66,42.06,9.79,3.16,2.67,26.57
Columbiformes,Chalcophaps,indica,105530,f,136.00,6.94,2.22,28.86,3.21,31.09,6.22,2.22,24.27,42.53,9,3.21,2.33,25.35
Columbiformes,Chalcophaps,stephani,104729,m,141.00,7.07,2.31,28.36,3.7,29.53,7.42,2.72,21.83,41.61,10.35,3.21,2.32,24.23
Columbiformes,Chalcophaps,stephani,105531,m,141.00,7.27,2.25,30.92,2.62,32.22,6.25,2.12,26.07,45.22,8.62,3.23,2.46,25.8
Columbiformes,Chalcophaps,stephani,105858,m,141.00,6.47,2.18,28.29,3.6,30.51,5.26,1.87,23.48,40.9,11.12,3.21,2.19,25.18
Columbiformes,Chalcophaps,stephani,105859,f,141.00,7.12,2.26,29.16,4.02,30.78,6.27,1.77,24.58,41.43,10.52,3.23,2.38,24.88
Columbiformes,Chalcophaps,stephani,105153,f,141.00,7.29,2.28,29.1,4.11,31.46,6.6,2.32,26.02,44.85,10.81,3.24,2.58,26.17
Columbiformes,Chalcophaps,stephani,105205,f,141.00,7.4,2.39,27.25,3.65,30.64,6.41,2.31,22.24,41.1,10.18,3.21,2.37,25.35
Columbiformes,Chalcophaps,stephani,104728,f,141.00,7.29,2.34,28.71,3.35,31.04,6.27,2.35,23.99,42.23,9.28,3.22,2.3,25.16
Columbiformes,Columba,livia,107621,f,340.00,11.11,3.61,40.86,4.72,44.35,9.03,3.15,30.61,55.29,13.65,4.64,3.86,36.82
Columbiformes,Columba,livia,107623,f,340.00,10.07,3.25,41.05,5.31,44.55,8.81,3.02,30.09,57.07,14.4,4.72,3.9,35.53
Columbiformes,Columba,livia,109527,f,340.00,10.67,3.38,41.23,5.34,45.82,8.94,3.27,30.93,57.31,15.22,4.67,4.13,36.07
Columbiformes,Columba,livia,107622,f,340.00,10.92,3.57,40.61,5.3,45.54,9.79,3.55,30.02,57.47,14.77,4.66,3.97,35.64
Columbiformes,Columba,livia,105961,m,369.00,9.94,3.27,40.74,5.62,44.24,8.84,3.23,31.01,58.79,14.81,4.81,3.74,35.16
Columbiformes,Columba,livia,10078,m,369.00,12.71,3.91,42.78,5.26,46.4,10.27,3.37,33.31,59.65,19.33,4.84,4.05,37.58
Columbiformes,Columba,livia,109526,m,369.00,12.05,3.98,40.58,4.34,42.35,10.01,3.32,29.29,55.46,13.62,4.8,3.97,36.21
Columbiformes,Columba,oenas,103356,m,302.00,10.7,3.54,39.07,4.3,43.54,8.29,2.92,27.26,51.47,12.93,4.44,3.82,34.79
Columbiformes,Macropygia,amboinensis,105860,m,237.00,7.7,2.52,32.56,4.81,36.11,5.64,1.85,21.86,42.32,12.41,3.98,2.65,28.71
Columbiformes,Macropygia,nigrirostris,105534,m,90.10,6.6,2.07,28.85,3.31,31.68,5.39,1.88,19.09,35.06,9.19,2.69,2.3,25.27
Columbiformes,Macropygia,nigrirostris,104817,m,90.10,6.57,2.13,27.53,3.59,30.56,5.07,1.71,19.06,35.53,9.85,2.68,2.44,24.76
Columbiformes,Macropygia,nigrirostris,105157,m,90.10,6.5,2.08,28.24,3.25,31.14,5.15,1.79,18.97,36.78,9.33,2.67,2.46,24.77
Columbiformes,Macropygia,phasianella,103767,m,237.00,8.66,2.7,36.56,4.92,40.51,7.21,2.49,25.22,47.95,13.08,4.02,3.08,33.41
Columbiformes,Macropygia,phasianella,110041,m,237.00,8.92,2.94,37.05,4.04,42.11,7.49,2.25,25.55,47.56,11.97,3.99,3.05,33.52
Columbiformes,Oena,capensis,110027,f,40.60,4.38,1.34,17.48,2.17,21.32,4.13,1.54,13.34,24.72,6.14,1.97,1.49,18.23
Columbiformes,Streptopelia,roseogrisea,112380,m,155.00,8.06,2.65,28.85,3.65,29.74,6.65,2.12,19.43,39.26,10.57,3.37,2.69,26.58
Coraciiformes,Buceros,bicornis,103256,f,2591.00,28.71,10.19,88.3,8.49,120.79,27.64,8.16,66.25,125.22,33.15,10.69,6.7,66.44
Coraciiformes,Coracias,benghalensis,107211,f,171.00,8.06,2.52,31.92,4.18,54.47,6.8,2.28,24.5,45.19,11.73,3.5,2.23,28.95
Coraciiformes,Eurystomus,glaucurus,103549,f,110.00,7.16,2.23,27.44,3.37,49.62,11.2,3.76,49.68,36.17,10.37,2.89,2.42,29.3
Falconiformes,Falco,berigora,104779,m,506.00,17.14,5.46,62.21,5.21,81.28,11.61,4,68.21,86.1,16.24,5.47,3.85,41.33
Falconiformes,Falco,berigora,104778,f,681.00,16.65,5.14,66.67,4.69,85.58,12.11,4,71.42,92.71,14.88,6.16,3.58,43.41
Falconiformes,Falco,columbarius,110888,m,163.00,10.79,3.49,41.22,3.46,44.42,7.71,2.49,36.26,52.87,11,3.42,2.36,28.31
Falconiformes,Falco,columbarius,111234,f,218.00,12.52,3.97,47.06,4.67,51.3,8.01,2.78,39.32,60.66,14.56,3.86,3,33.58
Falconiformes,Falco,mexicanus,111235,m,560.00,15.66,5.57,62.65,4.24,71.28,18.29,4.54,50.7,76.24,21.14,5.75,4.18,42.39
Falconiformes,Falco,novaezeelandiae,110748,f,531.00,18.33,5.69,65.43,4.76,73.79,15.87,4.8,74.84,90.03,20.45,5.68,4.76,44.5
Falconiformes,Falco,sparverius,109163,m,111.00,9.52,3.04,37.38,3.41,42.1,6.55,2.32,36.25,49.86,10.32,2.94,2.19,25.32
Falconiformes,Falco,sparverius,107602,m,111.00,8.37,2.64,35.32,3.15,39.79,6.03,2.13,33.96,46.8,9.31,2.9,1.91,24.44
Falconiformes,Falco,sparverius,107603,f,120.00,8.97,2.88,37.84,3.62,44.92,5.81,2.08,37.84,50.84,10.68,3.02,2.12,25.16
Falconiformes,Falco,sparverius,111237,f,120.00,9.38,2.91,37.18,3.28,43.67,6.85,2.5,34.88,48.38,9.99,3.02,2.38,24.91
Falconiformes,Micrastur,ruficollis,107598,f,196.00,13.1,4.26,42.37,4.08,49.21,9.08,3.03,53.14,65.51,12.14,3.67,2.29,29.47
Galliformes,Bonasa,umbellus,110398,m,498.00,14.11,4.25,58.66,4.58,50.99,9.92,3.34,42.81,73.55,15.04,4.45,4.14,40.34
Galliformes,Bonasa,umbellus,111155,f,566.00,15.81,4.68,57.76,5.38,51.12,11.63,3.47,39.4,75.07,17.41,5.77,4.1,39.73
Galliformes,Bonasa,umbellus,111230,m,566.00,16.78,4.52,63.06,5.82,52,12.56,3.24,44.61,83.55,16.58,4.59,4.07,43.04
Galliformes,Bonasa,umbellus,112340,m,566.00,17.05,4.78,60.2,5.45,54.23,12.55,3.58,44.94,81.75,17.4,4.39,3.98,42.97
Galliformes,Bonasa,umbellus,112341,m,566.00,17.35,4.94,58.56,5.62,51.43,11.58,3.58,41.3,77.91,16.67,4.49,4.35,42.14
Galliformes,Callipepla,californica,103887,m,186.00,11.04,3.54,42.57,3.86,98.18,8.36,2.76,53.11,81.42,13.74,4.13,2.5,27.51
Galliformes,Callipepla,gambelii,110399,f,162.00,11.24,2.38,39.64,2.36,33.12,8.47,1.88,31.43,54.68,10.81,3.66,2.61,27.59
Galliformes,Callipepla,gambelii,110879,f,162.00,10.91,2.21,38.03,4.1,33.15,6.75,1.59,29.35,53.17,9.47,2.74,2.47,25.99
Galliformes,Callipepla,gambelii,110400,m,170.00,11.42,2.49,39.82,2.88,34.41,9.58,1.94,32.4,55.1,10.52,3.67,2.46,28.62
Galliformes,Callipepla,gambelii,104294,m,170.00,11.26,2.83,40.1,3.24,33.01,8.66,2.3,33.84,56.41,10.74,2.7,2.26,28.8
Galliformes,Centrocercus,urophasianus,111241,f,1745.00,25.08,6.58,77.49,6.61,85.45,14.33,4.53,47.8,92.84,21.65,10.15,6.14,59.59
Galliformes,Dendragapus,obscurus,109143,m,1212.00,22.67,6.87,76.81,8.47,72.47,16.7,4.55,46.62,93.57,23.35,6.85,5.84,57.95
Galliformes,Leipoa,ocellata,137673,m,2035.00,31.38,9.51,89.34,7.87,105.23,24.33,7.63,78.13,105.29,28.39,7.97,6.26,64.53
Galliformes,Lophura,diardi,111060,m,1420.00,27.1,7.4,79.61,4.98,73.02,24.16,5.5,92.78,121.62,20.27,8.71,5.7,54.23
Galliformes,Megapodius,eremita,104839,m,711.00,17.54,4.32,48.05,6.88,47.72,7.91,3.3,49.14,69.59,17.03,5.89,2.67,33.44
Galliformes,Megapodius,freycinet,103084,f,647.00,19.02,5.51,59.15,5.41,64.22,19.46,4.62,60.53,88.2,16.86,5.54,3.1,38.56
Galliformes,Meleagris,gallopavo,102053,f,4300.00,35.1,11.97,135.58,10.34,151.89,26.58,9.61,166,246,49.62,14.91,9.77,91.05
Galliformes,Meleagris,gallopavo,102057,m,7800.00,34.59,12.41,127.82,15.35,143.07,22.76,8.72,175,239,46.89,17.63,10.85,104.02
Galliformes,Numida,meleagris,105526,f,1299.00,25.66,7.26,89.76,8.06,89.02,22.8,6.72,105.99,143.05,24.9,8.06,5.69,60.08
Galliformes,Ortalis,vetula,105900,f,542.00,16.96,4.44,63.74,6.41,54.84,13.34,3.69,61.28,93.56,16.82,5.24,3.26,41.16
Galliformes,Ortalis,vetula,102075,m,584.00,21.11,5.47,77.58,4.02,68.2,13.69,5.42,71.25,116.02,19.04,6.23,4.76,46.47
Galliformes,Pauxi,pauxi,2103,m,3600.00,30.44,9.37,108.67,12.99,109.09,22.77,6.82,108.67,167,31.26,9.93,6.41,76.88
Galliformes,Pavo,cristatus,102516,m,4766.00,37.92,12.06,110.6,12.53,127.77,31.5,8.36,122.91,187,36.89,13.94,8.45,79.97
Galliformes,Phasianus,colchicus,110621,f,953.00,17.65,5.96,75.69,6.32,69.15,18.66,4.68,64.46,100.61,18.58,7.39,4.3,47.99
Galliformes,Phasianus,colchicus,104406,m,1317.00,27.77,7.46,92.48,8.35,83.39,23.17,6.53,87.26,124.52,28.56,7.62,5.88,59.12
Galliformes,Syrmaticus,reevesii,109060,f,949.00,24.23,6.2,73.86,6.27,69.28,16.5,5.2,64.49,103.58,20.56,7.42,5.08,51.46
Gruiformes,Amaurornis,phoenicurus,107196,m,180.00,11.8,3.83,51.26,3.08,47.56,9.38,3.3,62.71,89.17,9.63,3.83,2.86,25.61
Gruiformes,Amaurornis,phoenicurus,107197,m,180.00,11.3,3.55,50.56,5.6,48.9,9.08,3.24,57.81,85.51,12.86,3.7,2.74,24.95
Gruiformes,Anurolimnas,viridis,105994,m,60.00,7.02,2.37,32.2,1.82,27.12,6.68,2.19,36.36,49.44,5.34,2.38,1.48,17.07
Gruiformes,Ardeotis,kori,105280,f,5620.00,44.11,13.72,109.22,15.17,220,30.02,8.34,191,243,48.78,13.32,10.37,69.39
Gruiformes,Eurypyga,helias,104542,f,210.00,10.02,3.19,35.58,4.07,51,6.9,2.56,50.15,76.45,11.47,3.93,2.64,25.45
Gruiformes,Fulica,americana,102167,f,560.00,15.04,4.19,55.88,4.19,73.5,17.09,4.28,56.77,97.64,14.18,5.77,3.87,33.34
Gruiformes,Fulica,americana,110245,f,560.00,16.2,3.8,48.26,5.83,64.76,15.82,3.54,51.85,82.58,16.91,5.8,3.65,29.72
Gruiformes,Fulica,americana,102245,m,724.00,17.61,4.57,56.15,3.76,74.81,22.31,3.96,59.68,100.23,15.57,6.01,4.03,34.75
Gruiformes,Fulica,americana,108017,m,724.00,15.54,4.7,54.16,4.23,71.32,11.62,3.57,54.58,88.1,14.73,6.11,3.92,33.18
Gruiformes,Fulica,americana,109179,m,724.00,14.89,4.32,55.53,4.23,74.71,10.01,3.55,59.73,101.48,16.9,5.98,4.11,34.38
Gruiformes,Fulica,americana,105110,m,724.00,16.2,4.2,52.93,6.58,72.12,12.64,3.81,59.16,93.24,13.37,6.11,3.95,32.85
Gruiformes,Gallicrex,cinerea,107198,m,503.00,14.31,4.44,62.45,5.76,65.48,11.47,4.03,71.95,106.84,15.74,5.58,3.82,33.69
Gruiformes,Grus,canadensis,102539,f,2982.00,40.23,11.4,119.69,15.61,223,27.4,8.77,214,279,42.5,11.89,13.01,81.61
Gruiformes,Grus,canadensis,110401,f,2982.00,27.66,11.06,124.55,15.25,226,30.87,9.19,247,297,45.85,15.05,12.4,80.26
Gruiformes,Grus,canadensis,111250,f,2982.00,41.3,11.31,120.39,14.76,224,29.26,8.65,250,281,50.18,14.73,11.19,76.41
Gruiformes,Grus,canadensis,102538,m,3350.00,37.68,10.86,131.15,20.86,239,31.33,9.05,257,302,46.49,12.35,12.68,75.65
Gruiformes,Heliornis,fulica,109146,m,132.00,8.23,2.32,27.13,2.78,35.18,8.86,3.53,23.29,44.82,8.4,3.25,2.45,25.45
Gruiformes,Heliornis,fulica,109145,f,132.00,8.86,2.45,27.69,2.62,36.81,9.17,3.44,22.5,42.96,8.07,3.26,2.54,23.85
Gruiformes,Heliornis,fulica,12405,m,132.00,8.37,2.44,26.93,3.43,36.31,8.99,3.54,23.92,44.42,9.22,3.27,2.78,22.9
Gruiformes,Porphyrio,flavirostris,109144,m,93.30,8.25,2.75,38.51,2.52,36.99,7.54,2.46,46.62,70.78,7.4,2.88,2.26,20.18
Gruiformes,Porphyrio,martinica,111086,m,257.00,11.61,3.67,50.74,3.3,51.17,10.57,3.76,59.35,90.14,9.68,4.3,3.26,26.5
Gruiformes,Porphyrio,porphyrio,110751,m,1091.00,24,6.42,79.94,5.64,88.38,19.7,6.48,100.82,136.63,24.18,6.56,5.49,43.73
Gruiformes,Porphyrio,porphyrio,110750,m,1091.00,22.13,5.74,84.14,6.44,88.87,19.29,4.7,103.75,146.11,19.9,6.79,4.62,43.42
Gruiformes,Porzana,pusilla,107203,m,35.40,6.24,1.99,27.58,1.63,27.54,5.62,1.93,28.97,44.43,5.12,2.02,1.81,15.3
Gruiformes,Porzana,pusilla,107200,m,35.40,5.94,1.81,30.06,1.9,28.68,5.62,1.98,30.16,44.79,5.53,2.06,1.79,16
Gruiformes,Porzana,pusilla,107201,f,35.40,5.97,1.95,28.29,1.66,26.63,5.15,1.83,26.08,42.67,4.96,1.97,1.75,14.61
Gruiformes,Porzana,pusilla,107204,m,35.40,5.8,1.87,31.1,1.68,27.98,5.81,2.06,27.78,44.54,5.01,2.08,1.7,15.95
Gruiformes,Porzana,pusilla,107202,f,35.40,5.89,1.8,28.36,1.68,26.9,5.14,1.76,27.92,43.52,5,2.07,1.77,15.13
Gruiformes,Psophia,crepitans,102505,f,1026.00,23.2,6.33,67.84,6.98,66.83,20.75,5.72,101.91,129.36,20.05,5.62,8.79,34.72
Gruiformes,Psophia,viridis,104524,f,1071.00,22.5,6.52,70.21,7,75.06,17.33,6.29,92.81,129.17,24.54,5.82,10.49,39.02
Gruiformes,Rallina,forbesi,105432,m,88.40,9.11,2.84,40.46,2.21,30.94,8.88,2.61,37.69,58.92,6.52,2.48,1.71,18.34
Gruiformes,Rallus,longirostris,101244,f,257.00,10.97,3.5,53.21,3.32,54.6,8.89,3.2,47.71,75.48,9.61,4.3,2.4,26.91
Gruiformes,Rallus,longirostris,109056,f,257.00,12.22,3.83,55.18,2.85,55.34,8.94,2.97,50.99,79.33,9.28,4.35,2.84,28.2
Gruiformes,Rallus,longirostris,106124,f,257.00,11.59,3.53,53.73,4.73,56.11,10.16,3.33,49.7,78.61,12.68,4.13,2.86,28.07
Gruiformes,Rallus,longirostris,109055,m,322.00,12.03,3.84,56.08,3.56,57.52,9.77,3.32,52.08,80.88,10.49,4.43,3.1,28.14
Gruiformes,Rallus,longirostris,110380,m,322.00,13.53,4.45,57.71,6.98,57.5,11.19,3.74,52.25,81.92,16.16,4.56,3.19,24.91
Passeriformes,Agelaius,phoeniceus,112184,m,65.30,6.41,2.06,25.81,2.56,28.97,5.64,1.57,27.8,40.33,7.48,2.47,1.42,26.17
Passeriformes,Agelaius,phoeniceus,109518,m,65.30,6.22,2.03,26.03,2.71,27.35,5.22,1.59,29.53,41.08,7.79,2.51,1.52,26.06
Passeriformes,Agelaius,phoeniceus,108497,m,65.30,5.67,1.91,23.92,2.41,27.37,5.92,1.64,28,38.93,6.96,2.48,1.32,24.46
Passeriformes,Agelaius,phoeniceus,109443,m,65.30,5.72,1.87,25.18,2.38,27.07,5.26,1.53,28.95,41,7.12,2.44,1.43,26.27
Passeriformes,Agelaius,phoeniceus,109444,m,65.30,6.36,2.08,25.45,2.68,27.73,5.77,1.64,27.22,39.87,7.68,2.44,1.56,25.96
Passeriformes,Dives,dives,105883,f,83.40,7.84,2.52,31.41,2.7,30.58,7.59,1.91,36.32,50.63,7.85,2.74,1.5,27.53
Passeriformes,Dives,dives,105895,f,83.40,7.67,2.51,30.25,2.71,29.85,7.27,1.95,36.23,49.67,7.54,2.69,1.61,27.55
Passeriformes,Dolichonyx,oryzivorus,110355,f,29.20,4.57,1.42,21.77,1.96,20.96,4.48,1.22,24.71,36.1,5.78,1.77,1.1,20.63
Passeriformes,Dolichonyx,oryzivorus,110356,f,29.20,4.82,1.53,22.1,2.16,21.16,4.54,1.23,25.22,37.8,6.06,1.76,1.09,20.9
Passeriformes,Dolichonyx,oryzivorus,110357,f,29.20,4.43,1.5,21.47,1.85,20.93,4.21,1.01,23.29,36.11,5.31,1.77,1.03,19.2
Passeriformes,Dolichonyx,oryzivorus,110360,f,29.20,4.37,1.41,22.03,1.8,19.99,4.92,1.25,25.72,34.92,5.43,1.74,1.03,20.04
Passeriformes,Dolichonyx,oryzivorus,110362,f,29.20,4.68,1.57,22.14,1.99,21.23,4.24,1.2,26.85,37.44,5.78,1.81,1.17,20.85
Passeriformes,Dolichonyx,oryzivorus,110306,m,33.90,4.98,1.58,22.77,1.99,21.61,4.63,1.24,25.22,37.65,5.83,1.81,1.18,20.81
Passeriformes,Dolichonyx,oryzivorus,110358,m,33.90,5.07,1.63,20.88,2.04,21.11,3.82,1.22,25.42,36.16,5.91,1.77,1.13,19.45
Passeriformes,Dolichonyx,oryzivorus,110363,m,33.90,4.85,1.61,22.94,1.94,22.03,4.57,1.18,26.77,38.84,5.54,1.84,1.16,21.02
Passeriformes,Dolichonyx,oryzivorus,110359,m,33.90,4.71,1.6,22.08,1.95,21.87,4.52,1.26,26.23,38.35,6.08,1.93,1.16,21.26
Passeriformes,Dolichonyx,oryzivorus,110361,m,33.90,5.03,1.62,22.6,2.1,21.93,4.68,1.33,26.28,37.51,5.98,1.88,1.23,21.14
Passeriformes,Euphagus,carolinus,108320,f,55.20,6.28,2.04,24.76,2.51,26.04,5.61,1.4,30.13,40.55,7.45,2.27,1.32,23.64
Passeriformes,Euphagus,carolinus,108331,f,55.20,5.61,1.84,24.2,2.35,25.95,5.25,1.47,29.5,40.84,6.86,2.28,1.4,24.17
Passeriformes,Euphagus,carolinus,102206,m,64.30,5.58,1.8,25.28,2.45,27.69,5.01,1.56,29.78,43.49,7.04,2.33,1.43,25.35
Passeriformes,Euphagus,carolinus,108321,m,64.30,6.08,1.95,26.39,2.53,28.62,5.37,1.42,30.64,43.02,7.43,2.46,1.49,25.14
Passeriformes,Euphagus,carolinus,108322,m,64.30,5.66,1.86,25.25,2.48,28.05,5.53,1.48,29.15,41.77,7.51,2.46,1.41,25.98
Passeriformes,Euphagus,carolinus,108323,m,64.30,6.16,2.04,25.21,2.57,27.27,5.86,1.43,29.8,42.07,7.54,2.42,1.47,25.54
Passeriformes,Euphagus,cyanocephalus,103624,f,58.10,5.88,1.86,24.37,2.42,25.53,5.36,1.41,28.99,39.86,7.04,2.2,1.51,23.55
Passeriformes,Euphagus,cyanocephalus,103582,m,67.20,6.49,2.05,26.44,2.7,29.25,6.39,1.65,31.26,44.07,7.9,2.52,1.56,26.57
Passeriformes,Geothlypis,trichas,108720,f,9.20,3.11,1.05,13.7,1.13,12.78,2.67,0.8,19.98,25.64,3.17,1.08,0.59,12.47
Passeriformes,Geothlypis,trichas,108707,f,9.20,3.44,1.13,14.68,1.16,13.53,2.36,0.75,19.88,27.09,3.41,1.15,0.68,13.18
Passeriformes,Geothlypis,trichas,108721,f,9.20,3.38,1.15,13.69,1.16,12.87,2.59,0.91,18.48,25.15,3.36,1.08,0.58,12.11
Passeriformes,Geothlypis,trichas,105956,f,9.20,3.44,1.14,14.45,1.17,13.58,2.73,0.84,18.9,25.53,3.41,1.12,0.6,13.03
Passeriformes,Geothlypis,trichas,105957,f,9.20,3.35,1.13,14.07,1.13,12.9,2.58,0.82,19.55,26.04,3.24,1.07,0.59,12.71
Passeriformes,Geothlypis,trichas,103495,m,9.70,3.3,1.08,14.08,1.15,13.12,2.94,0.77,20.88,26.27,3.41,1.14,0.53,12.37
Passeriformes,Geothlypis,trichas,103751,m,9.70,3.49,1.14,14.89,1.29,13.55,2.78,0.85,20.84,26.75,3.79,1.11,0.66,13.32
