FAMILY	SPECIES	Code	F.B.	N-F.B	BM	HL	dpL	bcL	deHW	dHW	UL	peUW	deUW	dUW	RL	dRW	CmL	CmW	DCmW	FL	dFWml	dFWcc	TL	TmL
	Cuculus canorus	56572	CF	TN	-0,9788	1,5837	1,0645	0,7679	0,9299	0,5575	1,5992	0,7067	0,7396	0,4503	1,5599	0,2175	1,3092	0,2381	0,6998	1,4458	0,3444	0,3243	1,5866	1,3583
	C. canorus	56781	CF	TN	-0,9281	1,5956	1,1209	0,7853	0,9263	0,6253			0,7566	0,4997	1,5829	0,2381	1,3454	0,3032	0,7619	1,4623	0,3711	0,3617	1,5881	1,3555
	C. canorus	58077	CF	TN	-0,9454	1,5927	1,0924	0,8182	0,9310	0,5705	1,6134	0,7419	0,7451	0,4771	1,5805	0,2201	1,3300	0,2504	0,6990	1,4542	0,3541	0,3404	1,5969	1,3501
	C. canorus	59705	CF	TN	-0,8416	1,6074	1,1235	0,7597	0,9227	0,5843	1,6246	0,6998	0,7559	0,5198	1,5910	0,2381	1,3504	0,3181	0,7679	1,4663	0,3945	0,3541	1,6074	1,3789
	Coccyzus americanus	47999	CF	TN	-1,4012	1,4773	0,8579	0,6325	0,7627	0,4099	1,4809	0,5403	0,5647	0,3444	1,4398	-0,0862	1,1981	0,1106	0,5944	1,4513	0,2742	0,2856	1,6009	1,4299
	C. americanus	54762	CF	TN	-1,2211	1,4997	0,9671	0,5775	0,7825	0,4281	1,4809	0,5453	0,6010	0,3503	1,4403	-0,0862	1,2006	0,1461	0,6212	1,4773	0,3222	0,3181		1,4442
	C. americanus	54994	CF	TN	-1,0017	1,4706	0,9430	0,6675	0,8096	0,4150	1,4672	0,5315	0,5527	0,3304	1,4250	-0,0223	1,1790	0,1106	0,5635	1,4495	0,3263	0,3054	1,5884	1,3675
	C. americanus	54997	CF	TN	-1,2993	1,4790	0,8971	0,6075	0,8235	0,4133	1,4667	0,5515	0,5694	0,3579	1,4317	0,0969	1,1679	0,1430	0,6284	1,4489	0,2878	0,2455	1,5917	1,4140
Gruidae	Grus canadensis	85110	S	TG	0,5441	2,0588	1,6950	1,3713	1,4539	1,1113		1,2193	1,1813	0,9330		0,8169	1,9504	0,7832	1,0519	2,0028	0,9890	0,9547	2,3161	2,2258
	G. canadensis	85111	S	TG	0,6233	2,2868	1,7404	1,3555	1,4515	1,1396	2,3280	1,2127	1,2114	0,9952	2,3060	0,8267	1,9779	0,7701	1,0674	2,0514	1,0137	0,9643	2,3969	2,3354
	G. canadensis	85112	S	TG	0,5999	2,2822	1,7497	1,3885	1,4368	1,1076	2,3483	1,1973	1,1895	0,9474	2,3312	0,7846	1,9753	0,7664	1,0378	2,0212	0,9805	0,9465	2,3568	2,3149
Otididae	Tetrax tetrax	64702	CF	TN	-0,1203	1,9470	1,4314	1,0026	1,1906	0,8395	1,9658	0,9796	0,9513	0,6693	1,9398	0,5198	1,6583	0,4669	0,8657	1,7654	0,7218	0,7372	1,9838	1,8028
Rallidae	Rallus aquaticus	*18802	CF	A	-1,2366	1,5211	0,7889	0,5587	0,6474	0,3202	1,4241	0,4548	0,4281	0,2529	1,3922	-0,0506	1,2676	0,1732	0,4048	1,5625	0,4099	0,4281	1,7583	1,5444
	Fulica atra	56917	CF	A	-0,2495	1,8711	1,2375	1,1222	0,9943	0,6243	1,8172	0,8162	0,7938	0,5966	1,7938	0,3784	1,6107	0,4378	0,7185	1,7483	0,6345	0,6929	2,0064	1,7613
	F. atra	56581	CF	TG	-0,0836	1,8822	1,2330	1,1541	1,0141	0,6590	1,8325	0,8156	0,8228	0,5955	1,8054	0,3802	1,6304	0,4594	0,6884	1,7592	0,6758	0,7101	2,0316	1,7875
	Gallicrex cinerea	64904	CF	TG	-0,7254	1,7318	1,0342	0,8976	0,9031	0,5185	1,7049	0,7235	0,7016	0,4564	1,6735	0,1931	1,5030	0,3010	0,6415	1,7275	0,5694	0,5539	1,9727	1,7700
	G. cinerea	64918	CF	TG	-0,5157	1,8353	1,1641	0,9509	1,0187	0,6253	1,8017	0,8267	0,7868	0,5659	1,7666	0,2856	1,6005	0,4265	0,7284	1,8160	0,6160	0,6304	2,0765	1,8991
	G. cinerea	64910	CF	TG	-0,4808	1,8056	1,1682	0,9661	0,9908	0,6355	1,7806	0,8041	0,7846	0,5775	1,7481	0,2923	1,5885	0,4330	0,7076	1,7880	0,6096	0,6064	2,0263	1,8496
	G. cinerea	64933	CF	TG	-0,7122	1,7523	1,0678	0,8971	0,9149	0,4983	1,7172	0,7284	0,7202	0,4997	1,6895	0,2355	1,5250	0,3617	0,6523	1,7448	0,5599	0,6010	1,9994	1,8053
	Porphyrio porphyrio	82829	CF	TG	0,0265	1,9600	1,2874	1,1440	1,1402	0,7513	1,9378	0,9335	0,9533	0,7300	1,9077	0,4639	1,7725	0,6444	0,9058	1,9326	0,7952	0,7931	2,1780	2,0287
	P. porphyrio	62805	CF	TG	-0,1255	1,9101	1,2760	1,1156	1,0817	0,7364	1,8794	0,9031	0,8993	0,6822	1,8440	0,4684	1,7145	0,5922	0,8463	1,8869	0,7443	0,7716	2,1387	1,9764
	P. porphyrio	63060	CF	TG	-0,1457	1,8709	1,2049	1,0527	1,0539	0,6972	1,8301	0,8567	0,8615	0,6513	1,7953	0,3874	1,6411	0,4886	0,7868	1,8822	0,7459	0,7259	2,1247	1,9370
Musophagidae	Tauraco corythaix	52920	CF	TN	-0,5086	1,6751	1,1984	0,8195	1,0569	0,5911	1,6361	0,7202	0,7152	0,4800	1,5977	0,2529	1,3339	0,3856	0,7451	1,7551	0,6902	0,6712	1,8891	1,6504
	Corythaixoides concolor	52910	CF	TN	-0,6635	1,6434	1,1951	0,7832	1,0618	0,6513	1,6444	0,6920	0,7202	0,5366	1,6078	0,3385	1,3420	0,3997	0,7202	1,5705	0,6138	0,5809	1,7613	1,5472
Gaviidae	Gavia adamsii	60479	CF	A	0,6284	2,2945	1,7760	1,3397	1,3013	0,9895	2,2048	1,1617	1,3379	0,9528	2,1948	0,6840	2,0150	0,7753	1,0362	1,7709	0,8300	0,9330	2,2937	1,9529
	G. adamsii	57001	CF	A	0,6675	2,2773	1,7883	1,3560	1,3245	0,9926	2,1816	1,1471	1,3135	0,9581	2,1676	0,6749	1,9997	0,8109	1,0461	1,7638	0,8274	0,9450	2,2795	1,9346
	G. adamsii	57002	CF	A	0,8109	2,3158	1,8205	1,4023	1,3694	1,0366	2,2288	1,2022	1,3744	0,9908	2,2252	0,7084	2,0458	0,8476	1,0835	1,7953	0,9133	0,9708	2,3150	1,9885
	G. adamsii	57003	CF	A	0,6345	2,2959	1,7927	1,3504	1,2817	0,9841	2,2012	1,1629	1,3581	0,9890	2,2003	0,7059	2,0173	0,7832	1,0542	1,7772	0,8739	0,9542	2,2940	1,9645
	G. adamsii	57004	CF	A	0,7451	2,3196	1,8118	1,3791	1,3276	1,0326	2,2355	1,1867	1,3487	0,9952	2,2306	0,7396	2,0493	0,8543	1,0763	1,8106	0,8573	0,9420	2,3242	2,0004
	G. stellata	44122	CF	A	0,1761	2,1356	1,6472	1,2125	1,1480	0,8445	2,0366	0,9768	1,0596	0,7993	2,0323	0,5786	1,8623	0,6484	0,8993	1,6103	0,7896	0,8791	2,1911	1,8645
	G. stellata	44259	CF	A	0,2672	2,1526	1,7534	1,2373	1,1807	0,8627	2,0569	0,9948	1,0966	0,7993	2,0521	0,5353	1,8813	0,6884	0,9258	1,6044	0,8287	0,9009	2,2259	1,8886
	G. stellata	44260	CF	A	0,1761	2,1045	1,7231	1,2408	1,1313	0,7825		0,9571	1,0846	0,7980	2,0207	0,4639	1,8490	0,5888		1,5616	0,6955	0,8267	2,1723	1,8340
	G. stellata	44261	CF	A	0,2305	2,1326	1,6623	1,2170	1,0899	0,8363	2,0412	0,9809	1,0759	0,8149	2,0362	0,5465	1,8556	0,6138	0,8774	1,6039	0,7597	0,8915	2,2043	1,8678
Diomedeidae	Diomedea immutabilis 	33201	S	A	0,3979	2,4046	1,6843	1,3606	1,3263	1,0306	2,3968	1,1547	1,1523	0,8028	2,3919	0,6684	1,9963	0,7505	0,9722	1,8598	0,8344	0,7924	2,2098	1,9424
	D. immutabilis 	35364	S	A	0,3406	2,3762	1,6680	1,3562	1,3124	0,9791	2,3769	1,1523	1,1297	0,7459	2,3700	0,6149	1,9652	0,6730	0,9405	1,8555	0,8338	0,7924	2,1878	1,9132
Procellaridae	Macronectes giganteus	38048	S	A	0,6677	2,3890	1,7858	1,4419	1,4234	1,0903	2,3777	1,2370	1,2196	0,8876	2,3650	0,7612	2,0138	0,8182	1,0686	1,9548	0,9248	0,9469	2,2693	1,9884
	Fulmarus glacialoides	38024	S	A	-0,2328	2,0288	1,4257	1,1446	1,1024	0,7474	2,0237	0,9600	0,9661	0,6571	2,0159	0,4393	1,7114	0,4997	0,8169	1,6482	0,5740	0,5694		1,6844
	F. glacialoides	38025	S	A	-0,1518	2,0553	1,4482	1,2063	1,1106	0,7709	2,0481	1,0017	0,9827	0,6920	2,0368	0,4183	1,7337	0,5315	0,8182	1,6885	0,6075	0,6170	1,9903	1,7209
	Pterodroma solandri	55582	S	A	-0,2874	2,0110	1,3553	1,1146	1,0814	0,7612	2,0312	0,9671	0,9445	0,6758	2,0224	0,4771	1,7211	0,5599	0,8513	1,5728	0,5052	0,5119	1,8869	1,6446
	Puffinus pacificus	68952	S	A	-0,4101	1,9970	1,3126	1,0249	1,0382	0,6964	2,0136	0,8993	0,8609	0,5988	2,0007	0,4166	1,6919	0,4594	0,7980	1,5057	0,5092	0,5092	1,8918	1,6722
	P. pacificus	68954	S	A	-0,4389	2,0045	1,3408	0,9956	1,0204	0,6721	2,0224	0,9063	0,8615	0,5855	2,0133	0,3655	1,6982	0,4518	0,7404	1,5148	0,5038	0,5065	1,8863	1,6721
	P. pacificus	78197	S	A	-0,6073	1,9958	1,3220	0,9943	1,0009	0,6730	2,0148	0,8949	0,8768	0,6096	2,0044	0,3784	1,6964	0,4900	0,8035	1,5069	0,5378	0,4728	1,8896	1,6782
	P. griseus	85392	S	A	-0,1135	2,0391	1,4268	1,0542	1,0645	0,8567	2,0121	1,0013	0,9600	0,7093	1,9985	0,4800	1,7556	0,5539	0,8248	1,6099	0,6464	0,6335	2,0362	1,7758
Pelecanoididae	Pelecanoides urinatrix	60503	CF	A	-0,8182	1,6465	0,9528	0,6857	0,8470	0,4997	1,5378	0,7649	0,7466	0,5024	1,5047	0,1584	1,4069	0,2553	0,6395	1,4086	0,3598	0,3345	1,7131	1,4536
	P. urinatrix	60504	CF	A	-0,8794	1,6157	0,9978	0,6532	0,8228	0,4216	1,5215	0,7210	0,7118	0,4265	1,4936	0,0645	1,3827	0,1959	0,5977	1,3709	0,3032	0,3263	1,6778	1,4081
	P. urinatrix	60505	CF	A	-0,8477	1,6236	0,9595	0,6646	0,8182	0,4082	1,5167	0,6902	0,7059	0,4048	1,4804	0,1399	1,3690	0,2175	0,6021	1,3692	0,3010	0,3385	1,6804	1,3995
	P. urinatrix	60507	CF	A	-0,8416	1,6320	0,9610	0,7135	0,8445	0,4857	1,5161	0,7657	0,7284	0,4742	1,4842	0,1206	1,3720	0,2672	0,6253	1,3581	0,3010	0,3385	1,6756	1,4062
Threskiornitidae	Platalea ajaja 	45515	S	TG	0,1673	2,1034	1,5735	1,1741	1,3092	0,9647			1,0314	0,7987		0,6222	1,8387	0,5786	0,9494	1,8653	0,8287	0,8209	2,1644	1,9982
	P. ajaja 	45516	S	TG	0,1875	2,0955	1,5823	1,2028	1,3168	0,9600	2,1719	1,0824	1,0500	0,8000	2,1480	0,6181	1,8374	0,6085	0,9528	1,8768	0,8261	0,8414	2,1735	2,0207
	P. ajaja 	45811	S	TG	0,1335	2,0971	1,5842	1,2243	1,3090	0,9704	2,1674	1,0723	1,0488	0,8228	2,1438	0,6523	1,8428	0,6335	0,9571	1,8614	0,8457	0,8704	2,1667	2,0075
	Plegadis chihi	41969	S	TG	-0,1871	1,9674	1,4173	1,1271	1,1752	0,8096	2,0264	0,9217	0,9320	0,6656	2,0012	0,4886	1,7425	0,4669	0,8363	1,7766	0,6693	0,6628	2,1466	2,0075
	P. chihi	59268	S	TG	-0,2692	1,9526	1,4059	1,0652	1,1596	0,7810	2,0097	0,9149	0,9269	0,6375	1,9871	0,4579	1,7264	0,5106	0,8069	1,7556	0,6561	0,6395	2,1322	1,9967
	P. chihi	59269	S	TG	-0,5653	1,8778	1,3528	0,9845	1,0881	0,7067	1,9277	0,8122	0,8248	0,5587	1,9037	0,3324	1,6515	0,3838	0,7544	1,6905	0,5988	0,6345	1,9942	1,8284
	P. chihi	59279	S	TG	-0,4134	1,9139	1,3746	1,0183	1,1189	0,7604	1,9709	0,8876	0,9015	0,6201	1,9481	0,4346	1,6944	0,4594	0,8143	1,7136	0,6454	0,6454	2,0463	1,9103
Pelecanidae	Pelecanus erythrorhynchus	59227	S	A	0,4698	2,4560	1,8975	1,6474	1,5751	1,2191	2,5020	1,3585	1,3280	1,0596	2,4877	0,9090	2,1246	0,9186	1,2679	2,0227	1,0955	1,0686	2,2439	2,0567
	P. erythrorhynchus	59228	S	A	0,3979	2,4647	1,9059	1,6655	1,6089	1,2622	2,5110	1,3632	1,3245	1,0519	2,4956	0,9238	2,1280	0,9504	1,2776	2,0230	1,0881	1,0723	2,2483	2,0652
	P. erythrorhynchus	59302	S	A	0,7875	2,4809	1,9272	1,6714	1,5972	1,2815	2,5423	1,3800	1,3553	1,0860	2,5291	0,9253	2,1593	0,9832	1,3274	2,0432	1,1297	1,1076	2,2706	2,0967
	P. erythrorhynchus	59235	S	A	0,9004	2,4761	1,9251	1,6682	1,6221	1,2448	2,5310	1,3674	1,3471	1,0748	2,5164	0,9106	2,1433	0,9518	1,3054				2,2614	2,0753
Ciconiidae	Mycteria americana	55850	S	TG	0,3594	2,2375	1,7000	1,4009	1,4571	1,1139	2,3424	1,2193	1,1787	0,9238	2,3234	0,8000	1,9970	0,7193	1,1271	1,9946	1,0166	0,9859	2,4236	2,3203
Ardeidae	Ardea cinerea	46890	CF	TG	0,1761	2,2230	1,5312	1,2971	1,3328	0,9974	2,3006	1,1031	1,0986	0,7860	2,2852	0,6304	1,9546	0,6284	0,9657	1,9334	0,8382	0,8426	2,3128	2,1905
	A. cinerea	46891	CF	TG	0,2095	2,2414	1,5540	1,3475	1,3664	1,0052		1,1062	1,0969	0,8543	2,3085	0,6149	1,9841	0,6618	0,9823	1,9583	0,8401	0,8507	2,3239	2,2113
	A. cinerea	54682	CF	TG	0,1903	2,2167	1,5050	1,2788	1,3290	0,9736		1,0785		0,7810			1,9488	0,6335	0,9777	1,9255	0,8176	0,8035	2,2987	2,1680
	Egretta sacra	42502	CF	TG	-0,3420	1,9989	1,2835	1,0519	1,1464	0,7419	2,0699	0,9031	0,9238	0,6201	2,0513	0,3979	1,7433	0,4814	0,7903	1,7549	0,6532	0,6493	2,0317	1,8876
	E. sacra	42590	CF	TG	-0,3420	2,0192	1,3298	1,0835	1,1761	0,7903	2,0926	0,9567	0,9440	0,6201	2,0723	0,4216	1,7679	0,4409	0,7810	1,7758	0,7185	0,6561	2,0646	1,9155
	E. sacra	42606	CF	TG	-0,3279	2,0000	1,2874	1,0500	1,1464	0,7604		0,9020		0,6170			1,7412	0,4487	0,8048	1,7437	0,6580	0,6665		1,8577
	E. sacra	42633	CF	TG	-0,2449	2,0235	1,3381	1,0774	1,1903	0,8149	2,0930	0,9460	0,9509	0,6532	2,0730	0,4669	1,7636	0,4639	0,8209	1,7774	0,7059	0,6758	2,0545	1,9071
	Ixobrychus eurhythmus	47044	CF	TG	-0,8539	1,7418	1,0078	0,7931	0,8710	0,4265	1,7895	0,6484	0,6294	0,4014	1,7657	0,0969	1,5052	0,2504	0,5999	1,6391	0,4456	0,4378	1,8506	1,6774
	I. eurhythmus	47046	CF	TG	-0,8794	1,7681	1,0438	0,8463	0,8825	0,4487	1,7967	0,6484	0,6425	0,3404	1,7718	0,1271	1,5157	0,2305	0,5900	1,6671	0,4684	0,4472	1,8537	1,6761
	I. eurhythmus	47047	CF	TG	-0,9101	1,7426	1,0310	0,8007	0,8561	0,4564	1,7736	0,6590	0,6325	0,3909	1,7465	0,1673	1,4909	0,2648	0,5752	1,6312	0,4150	0,4150	1,8385	1,6513
	I. cinnamomoeus	64913	CF	TG	-0,9144	1,7612	1,0792	0,8476	0,8716	0,4713	1,7838	0,6911	0,6484	0,4082	1,7592	0,2330	1,5324	0,2480	0,5866	1,6768	0,4564	0,4378	1,8765	1,6975
Fregatidae	Fregata magnificens	73907	S	TN	0,2175	2,2912	1,7249	1,3412	1,4482	1,0645		1,2284	1,2840	0,9528		0,7443	2,0911	0,8543	1,1245	1,7445	0,8457	0,8573	1,8737	1,3516
	F. magnificens	73908	S	TN	0,0810		1,6570	1,3729	1,4346	1,0492	2,3877	1,2055	1,2383	0,9191	2,3742	0,7536	2,0429	0,8780	1,0962	1,7161	0,8143	0,8248	1,8351	1,3036
	F. minor	42921	S	TN	-0,0132	2,2444	1,6473	1,3493	1,3644	1,0306	2,3590	1,1901	1,2227	0,9469	2,3505	0,7497	2,0042	0,7686	1,0853	1,6988	0,8325	0,8401	1,8090	1,2894
	F. minor	42582	S	TN	0,1538	2,2671	1,6874	1,3518	1,4151	1,0745	2,3779	1,2101	1,2310	0,9504	2,3673	0,7589	2,0433	0,8325	1,0986	1,7039	0,8633	0,8756	1,8401	1,3143
	F. minor	42923	S	TN	0,1761	2,2684	1,6991	1,3703	1,4093	1,0430	2,3814	1,2238	1,2533	0,9633	2,3727	0,7275	2,0362	0,8639	1,1035	1,7153	0,8248	0,8274	1,8283	1,3268
	F. minor	42782	S	TN	0,2041	2,2583	1,6921	1,3426	1,4120	1,0512	2,3721	1,2302	1,2550	0,9370	2,3654	0,7723	2,0364	0,8395	1,1153	1,7154	0,8663	0,8745	1,8265	
Sulidae	Sula sula	42572	S	A	-0,0110	2,1985	1,5152	1,3610	1,2591	0,8055	2,2440	1,0770	1,0603	0,7839	2,2368	0,5900	1,8332	0,6170	0,9410	1,6752	0,7251	0,7505	1,8278	1,5448
	S. sula	42571	S	A	-0,0836	2,1766	1,5071	1,2995	1,2480	0,7649	2,2312	1,0766	1,0386	0,7419	2,2171	0,5694	1,8232	0,5955	0,9217	1,6417	0,6840	0,7332	1,7942	1,5192
	S. sula	42574	S	A	0,0107	2,2088	1,5249	1,3365	1,2681	0,8202	2,2350	1,0633	1,0481	0,7521	2,2384	0,6031	1,8467	0,7007	0,9624	1,6523	0,7825	0,8069	1,8137	1,5468
	S. leucogaster	42580	S	A	0,1903	2,2312	1,5822	1,3555	1,2982	0,8312	2,2610	1,1297	1,1123	0,8169	2,2438	0,6253	1,8779	0,6875	1,0149	1,7631	0,8470	0,8182	1,9240	1,6941
	S. leucogaster	42917	S	A	0,0414	2,1963	1,5198	1,3263	1,2660	0,8338	2,2355	1,1021	1,0785	0,8376	2,2355	0,6314	1,8604	0,6730	1,2017	1,7122	0,7513	0,7796	1,9026	1,6539
	S. bassana 	38108	S	A	0,2279	2,3642	1,6926	1,4544	1,3824	0,9479	2,3008	1,2135	1,2477	0,9175	2,2911	0,7505	1,9664	0,7716	1,0622	1,8578	0,8357	0,9031	2,0223	1,7750
	S. bassana 	73815	S	A	0,1514	2,3539	1,6990	1,4797	1,3572	0,9186	2,2916	1,1995	1,2373	0,9106	2,2772	0,7466	1,9583	0,7694	1,0853	1,8555	0,8344	0,8639	2,0307	1,7710
	S. serrator 	62928	S	A	0,2287	2,3244	1,6395	1,4219	1,3395	0,9101	2,2680	1,1709	1,1898	0,8500	2,2567	0,7127	1,9277	0,7251	1,0465	1,8224	0,8195	0,8267	2,0009	1,7316
	S. serrator 	63012	S	A	0,1239	2,3248	1,6331	1,4086	1,3300	0,8899	2,2604	1,1714	1,2011	0,8420	2,2511	0,7474	1,9278	0,7226	1,0358	1,8291	0,8069	0,8287	1,9960	1,7255
Phalacrocoracidae	Phalacrocorax carbo	59908	CF	A	0,2672	2,2028	1,6108	1,4819	1,2629	0,9619	2,2352	1,0831	1,1024	0,7917	2,2266	0,6893	1,8843	0,5855	0,9279	1,7714	0,8363	0,9207	2,0325	1,8061
	P. carbo	61351	CF	A	0,3522	2,2119	1,6260	1,4376	1,2543	0,9547	2,2382	1,0824	1,0881	0,8195	2,2212	0,6812	1,8981	0,5821	0,9058	1,8090	0,8927	0,9619	2,0592	1,8305
	P. carbo	62870	CF	A	0,1166	2,1705	1,5742	1,4678	1,2041	0,9248	2,2001	1,0484	1,0637	0,7980	2,1880	0,6551	1,8406	0,6085	0,9112	1,7359	0,8363	0,9217	2,0021	1,7642
	P. olivaceus	45686	CF	A	0,1038	2,0712	1,4374	1,3249	1,1255	0,7760			0,9727	0,6730	2,0861	0,5682	1,7706	0,4900	0,8338	1,6779	0,7243	0,8189	1,9158	1,6847
	P. olivaceus	45750	CF	A	0,0170	2,0456	1,4437	1,2679	1,0973	0,7924	2,0664	0,9232	0,9494	0,6395	2,0496	0,5403	1,7314	0,4503	0,7672	1,6560	0,7292	0,7193	1,8963	1,6780
	P. olivaceus	45751	CF	A	-0,0410	2,0493	1,4403	1,3655	1,0618	0,7672	2,0752	0,9186	0,9440	0,6128	2,0630	0,5563	1,7241	0,4378	0,7810	1,6406	0,7332	0,8041	1,8869	1,6596
Laridae	Larus argentatus	56577	FG	ATG	0,0700	2,1640	1,5550	1,3876	1,2620	0,8797	2,2213	1,0615	1,0934	0,7348	2,2072	0,5263	1,9231	0,5866	0,9370					
	L. argentatus	56578	FG	ATG	0,0969	2,1539	1,5329	1,3576	1,2742	0,8762	2,2030	1,0481	1,0853	0,7642	2,1888	0,5717	1,8969	0,5866	0,9567					
	L. argentatus	56821	FG	ATG	0,0645		1,5124	1,3247	1,2393		2,1949	1,0453	1,0756	0,7657	2,1799	0,5172	1,8992	0,5502	0,9212					
	L. argentatus	56728	FG	ATG	0,0274	2,1355	1,5279	1,3310	1,2281	0,8537	2,1812	1,0398	1,0708	0,7316	2,1641	0,5378	1,8883	0,5575	0,9180					
	L. crassirostris	47296	FG	ATG	-0,2518	1,9877	1,3369	1,2230	1,1153	0,7193	2,0412	0,9201	0,9571	0,5855	2,0262	0,4298		0,4871		1,6408	0,5465	0,4942	1,9209	1,7090
	L. crassirostris	47279	FG	ATG	-0,2798	2,0060	1,3619	1,2159	1,0973	0,7388	2,0635	0,9138	0,9513	0,6096	2,0481	0,4116	1,7734	0,4487	0,8248	1,6430	0,5478	0,5502	1,9222	1,7324
	L. crassirostris	47291	FG	ATG	-0,1707	2,0333	1,4278	1,2887	1,1505	0,7619	2,0937	0,9590	0,9952	0,6464	2,0795	0,4742	1,8037	0,4914	0,8768	1,6979	0,5775	0,5453	1,9691	1,7588
	L. crassirostris	47297	FG	ATG	-0,2636	2,0037	1,3988	1,2579	1,1261	0,7443	2,0618	0,9340	0,9624	0,6263	2,0463	0,4409	1,7761	0,4698	0,8370	1,6557	0,5821	0,5391	1,9385	1,7326
	L. pipixcan	32154	FG	ATG	-0,6444	1,8556	1,2138	1,0667	0,9818	0,5999		0,7980	0,8476	0,5052			1,6359	0,3181	0,7316	1,5196	0,4265	0,4425	1,8176	1,6033
	L. pipixcan	85108	FG	ATG	-0,6038	1,8744	1,2363	1,1193	1,0039	0,6425	1,9272	0,8109	0,8686	0,5378	1,9121	0,3464	1,6610	0,3424	0,7243	1,5155	0,4378	0,4440	1,8202	1,6022
	L. pipixcan	86565	FG	ATG	-0,5513	1,9059	1,2885	1,1374	1,0082	0,6609	1,9570	0,8143	0,8555	0,5250	1,9423	0,3424	1,6835	0,3997	0,7597	1,5423	0,4624	0,4362	1,8461	1,6345
	L. pipixcan	86603	FG	ATG	-0,7870	1,8652	1,2350	1,0821	0,9877	0,6010	1,9258	0,7846	0,8351	0,5024	1,9125	0,2742	1,6494	0,3444	0,7316	1,5083	0,4249	0,4378	1,8068	1,5931
Sternidae	Thalasseus maximus	45436	FG	ATG	-0,3158	1,9661	1,3414	1,2068	1,0842	0,7007	2,0647	0,9196	0,9330	0,6484	2,0524	0,4346	1,7483	0,4886	0,8633	1,6235	0,5289	0,4969	1,8691	1,5624
	T. maximus	45715	FG	ATG	-0,3307	1,9481	1,3103	1,2188	1,0878	0,7152		0,9243	0,9581	0,6812			1,7312	0,4843	0,8692	1,6081	0,5106	0,5515	1,8484	1,5448
	T. maximus	45805	FG	ATG	-0,3080	1,9673	1,3373	1,2490	1,0899	0,7356	2,0674	0,9410	0,9680	0,6542	2,0579	0,3874	1,7444	0,5024	0,8842	1,6103	0,5366	0,5315	1,8512	1,5329
	T. maximus	45815	FG	ATG	-0,3098	1,9489	1,3231	1,2114	1,0896	0,6866	2,0579	0,9180	0,9504	0,6212	2,0452	0,4425	1,7297	0,4669	0,8519	1,6043	0,5011	0,5024	1,8509	1,5262
	Chlidonias niger	56892	FG	TG	-1,2292	1,6068	1,0220	0,8432	0,7574	0,4166	1,6747	0,6253	0,6628	0,3560	1,6656	0,0756	1,4273	0,2068	0,6243	1,2817	0,2253	0,2201	1,5417	1,2095
	C. niger	56898	FG	TG	-1,1694	1,6202	1,0022	0,8692	0,7945	0,4281	1,7001	0,6294	0,6656	0,3444	1,6882	0,1461	1,4393	0,2279	0,5922	1,2676	0,2014	0,1931	1,5378	1,2011
	C. niger	56905	FG	TG	-1,1580	1,5967	0,9509	0,8082	0,7619	0,3979	1,6652	0,6128	0,6513	0,3617	1,6576	0,1303	1,4113	0,1875	0,6042	1,2591	0,1818	0,1931	1,5247	1,2391
	C. niger	56906	FG	TG	-1,2076	1,6148	0,9782	0,8621	0,7701	0,3962	1,6883	0,6263	0,6758	0,3655	1,6769	0,1239	1,4299	0,1875	0,6128	1,2707	0,1790	0,2068	1,5224	1,2133
Rynchopidae	Rynchops niger	36014	FG	TG	-0,6174	1,8734	1,3028	1,1335	1,0237	0,6857	1,9618	0,8363	0,8899	0,5328	1,9525	0,2833	1,6518	0,4425	0,8122	1,5274	0,4265	0,4698	1,7604	1,5009
	R. niger	45694	FG	TG	-0,4660	1,9167	1,3304	1,1901	1,0777	0,7672	2,0089	0,9350	0,9610	0,6191	1,9964	0,4150	1,7135	0,5198	0,8663	1,5684	0,5106	0,5453	1,8163	1,5474
	R. niger	45695	FG	TG	-0,5969	1,8787	1,2553	1,1173	1,0294	0,6739	1,9701	0,8768	0,9026	0,5563	1,9587	0,3636	1,6736	0,4757	0,7966	1,5352	0,4456	0,4713	1,7679	1,5261
Stercoriidae	Stercorarius pomarinus	49162	FG	ATG	-0,2097	2,0329	1,4131	1,2792	1,1644	0,8176	2,0590	0,9965	1,0009	0,6946	2,0474	0,5391	1,7598	0,5539	0,8871	1,6514	0,6274	0,6513	1,8837	1,7230
	S. pomarinus	49165	FG	ATG	-0,1891	2,0412	1,4323	1,2705	1,1746	0,8048	2,0705	0,9823	1,0220	0,6493	2,0540	0,5391	1,7676	0,4955	0,8445	1,6627	0,5922	0,6325	1,9165	1,7270
	S. pomarinus	49166	FG	ATG	-0,1549	2,0426	1,4289	1,3054	1,1738	0,8189	2,0718	0,9768	1,0334	0,6503	2,0563	0,5441	1,7636	0,4983	0,8615	1,6684	0,6201	0,6345	1,9278	1,7522
	S. pomarinus	59608	FG	ATG	-0,2434	2,0406	1,4206	1,2584	1,1605	0,7987		0,9680	1,0000	0,6767		0,5527		0,5238		1,6642	0,6128	0,6138	1,9107	1,7338
Alcidae	Uria lomvia	80877	CF	A	-0,0367	1,9655	1,6213	1,0461	1,0402	0,6138	1,8606	1,0166	0,9717	0,7980	1,8412	0,5877	1,6723	0,5011	0,8439	1,6881	0,6042	0,6812	1,9640	1,5989
