common,tax,order,family,tribe,genus,species,taxon,location,ecosystem,country
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Nechisar NP,ETHR,Ethiopia
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Nechisar NP,ETHR,Ethiopia
common duiker,Sylvicapra grimmia,Artiodactyla,Bovidae,Cephalophini,Sylvicapra,grimmia ,Cephalophini,Lake Abaya,ETHR,Ethiopia
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Nechisar NP,ETHR,Ethiopia
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Nechisar NP,ETHR,Ethiopia
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Nechisar NP,ETHR,Ethiopia
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Nechisar NP,ETHR,Ethiopia
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Nechisar NP,ETHR,Ethiopia
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Nechisar NP,ETHR,Ethiopia
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Nechisar NP,ETHR,Ethiopia
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Nechisar NP,ETHR,Ethiopia
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Nechisar NP,ETHR,Ethiopia
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Nechisar NP,ETHR,Ethiopia
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Nechisar NP,ETHR,Ethiopia
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Nechisar NP,ETHR,Ethiopia
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Nechisar NP,ETHR,Ethiopia
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Nechisar NP,ETHR,Ethiopia
oribi,Ourebia ourebi,Artiodactyla,Bovidae,Neotragini,Ourebia,ourebi,Neotragini,Lake Abaya,ETHR,Ethiopia
warthog,Phacochoerus aethiopicus,Artiodactyla,Suidae,,Phacochoerus,aethiopicus,Phacochoerus,Nechisar NP,ETHR,Ethiopia
warthog,Phacochoerus aethiopicus,Artiodactyla,Suidae,,Phacochoerus,aethiopicus,Phacochoerus,Nechisar NP,ETHR,Ethiopia
bushbuck,Tragelaphus scriptus,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,scriptus,Tragelaphini,Nechisar NP,ETHR,Ethiopia
bushbuck,Tragelaphus scriptus,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,scriptus,Tragelaphini,Nechisar NP,ETHR,Ethiopia
greater kudu,Tragelaphus strepsiceros,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,strepsiceros,Tragelaphini,Nechisar NP,ETHR,Ethiopia
greater kudu,Tragelaphus strepsiceros,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,strepsiceros,Tragelaphini,Nechisar NP,ETHR,Ethiopia
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Garamba NP,GMBA,DR Congo
white rhino,Ceratotherium simum,Perissodactyla,Rhinocerotidae,,Ceratotherium ,simum,Ceratotherium,Garamba NP,GMBA,DR Congo
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Garamba NP,GMBA,DR Congo
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Garamba NP,GMBA,DR Congo
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Garamba NP,GMBA,DR Congo
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Dungu,GMBA,DR Congo
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Dungu,GMBA,DR Congo
savanna elephant,Loxodonta africana,Proboscidea,Elephantidae,,Loxodonta,africana,Loxodonta,Garamba NP,GMBA,DR Congo
warthog,Phacochoerus africanus,Artiodactyla,Suidae,,Phacochoerus,africanus,Phacochoerus,Garamba NP,GMBA,DR Congo
waterbuck,Kobus ellipsiprymnus,Artiodactyla,Bovidae,Reduncini,Kobus,ellipsiprymnus,Reduncini,Garamba NP,GMBA,DR Congo
